Date,Date2,Home,Gas,Beef,Pork,IncomeMid,IncomeMid,SavingsRate,PctHome,PctGas,PctBeef,PctPork,PctChInL,PctChInM,Years
1981-06-01,06/01/81,60967.12,1.31,234.8,155.1,5053,18991,10.8,1.540083935,2.638888889,1.383756345,0.905405405,1.213315813,1.185637012,
1981-07-01,07/01/81,61280.27,1.31,238.8,163.88,5053,18991,12.3,1.553130759,2.638888889,1.424365482,1.013267813,1.213315813,1.185637012,
1981-08-01,08/01/81,61594.7,1.31,238.6,167.27,5053,18991,12,1.566230911,2.638888889,1.422335025,1.054914005,1.213315813,1.185637012,
1981-09-01,09/01/81,61711.34,1.31,239.7,168.75,5053,18991,12.4,1.571090505,2.638888889,1.433502538,1.073095823,1.213315813,1.185637012,
1981-10-01,10/01/81,61795.02,1.31,237.4,169.7,5053,18991,13,1.574576879,2.638888889,1.410152284,1.084766585,1.213315813,1.185637012,
1981-11-01,11/01/81,61798.83,1.31,234.9,167.38,5053,18991,13.2,1.574735616,2.638888889,1.384771574,1.056265356,1.213315813,1.185637012,
1981-12-01,12/01/81,61848.27,1.31,234,166.53,5053,18991,12.5,1.576795443,2.638888889,1.375634518,1.045823096,1.213315813,1.185637012,
1982-01-01,01/01/82,61890.11,1.22,232.9,167.38,5436,20064,12.7,1.578538631,2.388888889,1.364467005,1.056265356,1.38107753,1.309126482,
1982-02-01,02/01/82,61990.27,1.22,234,170.02,5436,20064,12.1,1.582711615,2.388888889,1.375634518,1.088697789,1.38107753,1.309126482,
1982-03-01,03/01/82,61956.04,1.22,233,170.76,5436,20064,12.2,1.581285484,2.388888889,1.365482234,1.097788698,1.38107753,1.309126482,
1982-04-01,04/01/82,62037.18,1.22,236.3,172.45,5436,20064,12.9,1.584666034,2.388888889,1.398984772,1.118550369,1.38107753,1.309126482,
1982-05-01,05/01/82,62118.32,1.22,242.3,179.44,5436,20064,12.3,1.588046584,2.388888889,1.459898477,1.204422604,1.38107753,1.309126482,
1982-06-01,06/01/82,62113.25,1.22,250.3,185.57,5436,20064,12.3,1.587835352,2.388888889,1.541116751,1.27972973,1.38107753,1.309126482,
1982-07-01,07/01/82,62096.77,1.22,247.5,191.6,5436,20064,12.5,1.587148743,2.388888889,1.512690355,1.353808354,1.38107753,1.309126482,
1982-08-01,08/01/82,62068.88,1.22,242.7,194.14,5436,20064,12.6,1.585986757,2.388888889,1.463959391,1.385012285,1.38107753,1.309126482,
1982-09-01,09/01/82,62090.43,1.22,241.9,201.34,5436,20064,11.8,1.586884598,2.388888889,1.455837563,1.473464373,1.38107753,1.309126482,
1982-10-01,10/01/82,62091.7,1.22,234.6,201.97,5436,20064,11.3,1.586937511,2.388888889,1.381725888,1.481203931,1.38107753,1.309126482,
1982-11-01,11/01/82,62095.5,1.22,233.1,197.85,5436,20064,10.9,1.587095831,2.388888889,1.366497462,1.430589681,1.38107753,1.309126482,
1982-12-01,12/01/82,62200.73,1.22,231.7,194.14,5436,20064,10.9,1.591480047,2.388888889,1.352284264,1.385012285,1.38107753,1.309126482,
